"dv","term","outcome_level","estimate","conf.low","conf.high","p.value","sig"
"Equal opportunity","alberta_bin","0",0.004,-0.007,0.015,0.488,""
"Equal opportunity","alberta_bin","0.33",0.018,-0.031,0.067,0.477,""
"Equal opportunity","alberta_bin","0.66",0.001,-0.001,0.004,0.389,""
"Equal opportunity","alberta_bin","1",-0.023,-0.084,0.039,0.467,""
"Equal opportunity","employ_fulltime_bin","0",0.002,-0.006,0.01,0.579,""
"Equal opportunity","employ_fulltime_bin","0.33",0.011,-0.027,0.049,0.577,""
"Equal opportunity","employ_fulltime_bin","0.66",0.001,-0.003,0.005,0.582,""
"Equal opportunity","employ_fulltime_bin","1",-0.014,-0.064,0.036,0.576,""
"Equal opportunity","ideo_define_QC_first_bin","0",0.002,-0.015,0.018,0.839,""
"Equal opportunity","ideo_define_QC_first_bin","0.33",0.008,-0.067,0.083,0.836,""
"Equal opportunity","ideo_define_QC_first_bin","0.66",0.001,-0.003,0.005,0.772,""
"Equal opportunity","ideo_define_QC_first_bin","1",-0.01,-0.106,0.085,0.834,""
"Equal opportunity","ideo_interest_politics_num","0",-0.003,-0.016,0.011,0.704,""
"Equal opportunity","ideo_interest_politics_num","0.33",-0.013,-0.078,0.053,0.703,""
"Equal opportunity","ideo_interest_politics_num","0.66",-0.001,-0.008,0.005,0.712,""
"Equal opportunity","ideo_interest_politics_num","1",0.017,-0.069,0.102,0.704,""
"Equal opportunity","ideo_right_num","0",-0.037,-0.058,-0.017,0,"***"
"Equal opportunity","ideo_right_num","0.33",-0.178,-0.254,-0.102,0,"***"
"Equal opportunity","ideo_right_num","0.66",-0.017,-0.039,0.005,0.128,""
"Equal opportunity","ideo_right_num","1",0.233,0.133,0.332,0,"***"
"Equal opportunity","incomeHigh_bin","0",-0.011,-0.019,-0.003,0.01,"*"
"Equal opportunity","incomeHigh_bin","0.33",-0.056,-0.098,-0.014,0.008,"**"
"Equal opportunity","incomeHigh_bin","0.66",-0.013,-0.031,0.004,0.133,""
"Equal opportunity","incomeHigh_bin","1",0.081,0.015,0.146,0.016,"*"
"Equal opportunity","quebec_bin","0",-0.001,-0.017,0.015,0.894,""
"Equal opportunity","quebec_bin","0.33",-0.005,-0.084,0.074,0.894,""
"Equal opportunity","quebec_bin","0.66",-0.001,-0.01,0.009,0.904,""
"Equal opportunity","quebec_bin","1",0.007,-0.098,0.112,0.895,""
"Equal opportunity","region_eastcoast_bin","0",0.002,-0.009,0.012,0.761,""
"Equal opportunity","region_eastcoast_bin","0.33",0.007,-0.04,0.055,0.76,""
"Equal opportunity","region_eastcoast_bin","0.66",0.001,-0.003,0.004,0.73,""
"Equal opportunity","region_eastcoast_bin","1",-0.01,-0.071,0.052,0.758,""
"Equal opportunity","ses_age","0",-0.001,-0.001,0,0,"***"
"Equal opportunity","ses_age","0.33",-0.003,-0.004,-0.001,0,"***"
"Equal opportunity","ses_age","0.66",0,-0.001,0,0.123,""
"Equal opportunity","ses_age","1",0.003,0.002,0.005,0,"***"
"Equal opportunity","ses_citizenYes_bin","0",0.009,0,0.017,0.055,"."
"Equal opportunity","ses_citizenYes_bin","0.33",0.043,-0.002,0.088,0.059,"."
"Equal opportunity","ses_citizenYes_bin","0.66",0.009,-0.007,0.025,0.256,""
"Equal opportunity","ses_citizenYes_bin","1",-0.061,-0.129,0.007,0.079,"."
"Equal opportunity","ses_french_bin","0",-0.003,-0.017,0.012,0.705,""
"Equal opportunity","ses_french_bin","0.33",-0.013,-0.083,0.057,0.709,""
"Equal opportunity","ses_french_bin","0.66",-0.002,-0.012,0.009,0.759,""
"Equal opportunity","ses_french_bin","1",0.018,-0.077,0.112,0.713,""
"Equal opportunity","ses_male_bin","0",-0.011,-0.019,-0.003,0.007,"**"
"Equal opportunity","ses_male_bin","0.33",-0.054,-0.091,-0.018,0.004,"**"
"Equal opportunity","ses_male_bin","0.66",-0.005,-0.012,0.002,0.19,""
"Equal opportunity","ses_male_bin","1",0.07,0.024,0.116,0.003,"**"
"Equal opportunity","trust_social_bin","0",-0.016,-0.024,-0.007,0,"***"
"Equal opportunity","trust_social_bin","0.33",-0.08,-0.115,-0.044,0,"***"
"Equal opportunity","trust_social_bin","0.66",-0.008,-0.019,0.002,0.11,""
"Equal opportunity","trust_social_bin","1",0.104,0.058,0.15,0,"***"
"Equal opportunity","univ_educ_bin","0",-0.002,-0.01,0.005,0.543,""
"Equal opportunity","univ_educ_bin","0.33",-0.011,-0.047,0.024,0.541,""
"Equal opportunity","univ_educ_bin","0.66",-0.001,-0.005,0.002,0.561,""
"Equal opportunity","univ_educ_bin","1",0.014,-0.032,0.061,0.54,""
"Rewarded for effort & skill","alberta_bin","0",0.005,-0.009,0.018,0.498,""
"Rewarded for effort & skill","alberta_bin","0.33",0.016,-0.03,0.062,0.488,""
"Rewarded for effort & skill","alberta_bin","0.66",-0.002,-0.011,0.006,0.589,""
"Rewarded for effort & skill","alberta_bin","1",-0.018,-0.069,0.032,0.476,""
"Rewarded for effort & skill","employ_fulltime_bin","0",0.004,-0.006,0.014,0.408,""
"Rewarded for effort & skill","employ_fulltime_bin","0.33",0.015,-0.021,0.051,0.405,""
"Rewarded for effort & skill","employ_fulltime_bin","0.66",-0.002,-0.007,0.003,0.478,""
"Rewarded for effort & skill","employ_fulltime_bin","1",-0.018,-0.059,0.024,0.403,""
"Rewarded for effort & skill","ideo_define_QC_first_bin","0",0.007,-0.014,0.028,0.524,""
"Rewarded for effort & skill","ideo_define_QC_first_bin","0.33",0.024,-0.046,0.094,0.507,""
"Rewarded for effort & skill","ideo_define_QC_first_bin","0.66",-0.005,-0.024,0.015,0.642,""
"Rewarded for effort & skill","ideo_define_QC_first_bin","1",-0.026,-0.098,0.046,0.48,""
