"","Duration..in.seconds.","ResponseId","UserLanguage","ses_gender","ses_year_born.","ses_region.","ses_education","ses_income","ses_children","ses_citizen_status","ses_employ_status","ses_household_compo_1","ses_household_compo_2","ses_household_compo_3","ses_household_compo_4","ideo_left_right_1","ideo_interest._1","attention","budget_issue_imp_1","budget_issue_imp_2","budget_issue_imp_3","budget_issue_imp_4","budget_issue_imp_5","budget_spend_prio_6","budget_spend_prio_7","budget_spend_prio_8","budget_spend_prio_9","budget_spend_prio_10","tradeoff_cc1_tax","tradeoff_cc1_cut","tradeoff_cc1_debt","tradeoff_cc1_no_spend","tradeoff_ge_tax","tradeoff_ge_cut","tradeoff_ge_debt","tradeoff_ge_no_spend","tradeoff_tax_less_services","tradeoff_tax_sales_tax","tradeoff_tax_inc_tax","tradeoff_tax_wealth_tax","tradeoff_hc_all","tradeoff_hc_spend","tradeoff_hc_pensions","tradeoff_cc2_all","tradeoff_cc2_low_inc","tradeoff_cc2_educ_all","tradeoff_cc2_educ_low_inc","redis_fei_can1","redis_fei_can2.","redis_pnvo_rich","redis_pnvo_poor.","redis_fid_can","redis_prev_freerider","redis_iden_freerider","redis_human_nature.","PID","province","ses_language_clean","ideo_vote_fed_clean","ideo_vote_prov_clean","ideo_define_clean","trust_social_clean","trust_inst_pp","trust_inst_fed","trust_inst_prov","trust_inst_media","ses_region_cat","budget_spend_prio_health_num","budget_spend_prio_health_raw","budget_spend_prio_health_norm","budget_spend_prio_seniors_num","budget_spend_prio_seniors_raw","budget_spend_prio_seniors_norm","budget_spend_prio_cc_num","budget_spend_prio_cc_raw","budget_spend_prio_cc_norm","budget_spend_prio_ecn_num","budget_spend_prio_ecn_raw","budget_spend_prio_ecn_norm","budget_spend_prio_clim_num","budget_spend_prio_clim_raw","budget_spend_prio_clim_norm","tradeoff_cc1_tax_bin","tradeoff_cc1_tax_intensity","tradeoff_cc1_cut_bin","tradeoff_cc1_cut_intensity","tradeoff_cc1_debt_bin","tradeoff_cc1_debt_intensity","tradeoff_cc1_no_spend_bin","tradeoff_cc1_no_spend_intensity","tradeoff_ge_tax_bin","tradeoff_ge_tax_intensity","tradeoff_ge_cut_bin","tradeoff_ge_cut_intensity","tradeoff_ge_debt_bin","tradeoff_ge_debt_intensity","tradeoff_ge_no_spend_bin","tradeoff_ge_no_spend_intensity","tradeoff_tax_less_services_bin","tradeoff_tax_less_services_intensity","tradeoff_tax_sales_tax_bin","tradeoff_tax_sales_tax_intensity","tradeoff_tax_inc_tax_bin","tradeoff_tax_inc_tax_intensity","tradeoff_tax_wealth_tax_bin","tradeoff_tax_wealth_tax_intensity","tradeoff_hc_all_bin","tradeoff_hc_all_intensity","tradeoff_hc_spend_bin","tradeoff_hc_spend_intensity","tradeoff_hc_pensions_bin","tradeoff_hc_pensions_intensity","tradeoff_cc2_all_bin","tradeoff_cc2_all_intensity","tradeoff_cc2_low_inc_bin","tradeoff_cc2_low_inc_intensity","tradeoff_cc2_educ_all_bin","tradeoff_cc2_educ_all_intensity","tradeoff_cc2_educ_low_inc_bin","tradeoff_cc2_educ_low_inc_intensity","tradeoff_cc1_tax_strong","tradeoff_cc1_cut_strong","tradeoff_cc1_debt_strong","tradeoff_cc1_no_spend_strong","tradeoff_ge_tax_strong","tradeoff_ge_cut_strong","tradeoff_ge_debt_strong","tradeoff_ge_no_spend_strong","tradeoff_tax_less_services_strong","tradeoff_tax_sales_tax_strong","tradeoff_tax_inc_tax_strong","tradeoff_tax_wealth_tax_strong","tradeoff_hc_all_strong","tradeoff_hc_spend_strong","tradeoff_hc_pensions_strong","tradeoff_cc2_all_strong","tradeoff_cc2_low_inc_strong","tradeoff_cc2_educ_all_strong","tradeoff_cc2_educ_low_inc_strong","redis_intelligence_num","redis_intelligence_bin","redis_opportunity_num","redis_opportunity_bin","redis_reasons_rich_num","redis_reasons_rich_bin","redis_reasons_poor_num","redis_reasons_poor_bin","redis_effort_num","redis_effort_bin","redis_social_benefits_num","redis_social_benefits_bin","redis_welfare_num","redis_welfare_bin","redis_no_cheat_system_num","redis_no_cheat_system_bin","trust_social_num","trust_social_bin","trust_inst_pp_num","trust_inst_pp_bin","trust_inst_fed_num","trust_inst_fed_bin","trust_inst_prov_num","trust_inst_prov_bin","trust_inst_media_num","trust_inst_media_bin"
"1",533,"R_3mdUx8mCV8rpF94","EN","Male",1992,"Ontario","Completed technical, community college, CEGEP, College Classique","$150,001 to $200,000","In couple with children","Yes","Working full-time (35 or more hours per week)",2,0,0,0,8,5,"Brown",1,2,4,5,3,30,10,20,20,20,15,15,40,30,10,60,10,20,30,20,30,20,20,50,30,10,30,20,40,"Sometimes","","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Most of the time","139ce2d5-5cdc-f011-8d4c-002248d5417f","Ontario","English","Conservative Party of Canada","Progressive Conservative Party of Ontario","Solely as Canadian",7,6,7,7,8,"Ontario",30,0.3,0.25,10,0.1,0,20,0.2,0.25,20,0.2,0.25,20,0.2,0.25,0,-10,0,-10,1,15,0,5,0,-15,1,35,0,-15,0,-5,0,5,0,-5,0,5,0,-5,0,-13.3333333333333,1,16.6666666666667,0,-3.33333333333334,0,-15,0,5,0,-5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,1,NA,0,0.33,0,0.33,0,0.66,1,0.33,0,0.33,0,1,1,7,1,6,1,7,1,7,1,8,1
"2",591,"R_1aVOkeZW5ItiJva","EN","Male",1961,"Ontario","Master’s degree","More than $200,000","In couple without children","Yes","Retired",NA,NA,NA,NA,6,6,"Brown",1,3,4,5,2,35,15,5,35,10,0,0,0,100,0,25,0,75,5,75,10,10,100,0,0,25,25,25,25,"Most of the time","","Rarely","Rarely","Sometimes","Rarely","Sometimes","Most of the time","9bf89fd5-5cdc-f011-8d4c-002248d5417f","Ontario","English","Conservative Party of Canada","Progressive Conservative Party of Ontario","Solely as Canadian",8,6,6,5,5,"Ontario",35,0.35,0.25,15,0.15,0.25,5,0.05,0,35,0.35,0.25,10,0.1,0,0,-25,0,-25,0,-25,1,75,0,-25,0,0,0,-25,1,50,0,-20,1,50,0,-15,0,-15,1,66.6666666666667,0,-33.3333333333333,0,-33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,NA,0,0.66,1,0.66,1,0.66,1,0.33,0,0.33,0,1,1,8,1,6,1,6,1,5,0,5,0
"3",609,"R_5CjcxojvGrNP9uh","EN","Female",1958,"Ontario","Some university","$60,001 to $90,000","Other/Prefer not to answer","Yes","Retired",0,0,0,2,5,9,"Brown",1,2,5,3,4,30,30,20,15,5,20,60,20,0,0,100,0,0,20,70,5,5,0,50,50,100,0,0,0,"Sometimes","","Rarely","Sometimes","Most of the time","Most of the time","Sometimes","Rarely","00f99fd5-5cdc-f011-8d4c-002248d5417f","Ontario","French","Conservative Party of Canada","Progressive Conservative Party of Ontario","Solely as Canadian",7,4,1,9,0,"Ontario",30,0.3,0.25,30,0.3,0.25,20,0.2,0.25,15,0.15,0.25,5,0.05,0,0,-5,1,35,0,-5,0,-25,0,-25,1,75,0,-25,0,-25,0,-5,1,45,0,-20,0,-20,0,-33.3333333333333,0,16.6666666666667,0,16.6666666666667,1,75,0,-25,0,-25,0,-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.66,1,NA,0,0.66,1,0.33,0,1,1,1,1,0.33,0,0.33,0,7,1,4,0,1,0,9,1,0,0
"4",612,"R_7SBNjHmmFCsADRG","EN","Male",1953,"Ontario","Bachelor’s degree","$90,001 to $110,000","In couple without children","No","Retired",NA,NA,NA,NA,5,8,"Brown",2,1,3,4,5,45,15,15,15,10,20,20,20,40,10,10,10,70,0,10,60,30,40,30,30,20,20,30,30,"","Most of the time","Most of the time","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","40f99fd5-5cdc-f011-8d4c-002248d5417f","Ontario","Other","Liberal Party of Canada","Progressive Conservative Party of Ontario","Solely as Canadian",6,5,7,7,5,"Ontario",45,0.45,0.5,15,0.15,0.25,15,0.15,0.25,15,0.15,0.25,10,0.1,0,0,-5,0,-5,0,-5,1,15,0,-15,0,-15,0,-15,1,45,0,-25,0,-15,1,35,0,5,1,6.66666666666666,0,-3.33333333333334,0,-3.33333333333334,0,-5,0,-5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0.33,0,0.33,0,0.66,1,0.33,0,0.66,1,6,1,5,0,7,1,7,1,5,0
"5",609,"R_30MbL8oS3IOy30u","EN","Male",1978,"Quebec","Completed technical, community college, CEGEP, College Classique","$90,001 to $110,000","Other/Prefer not to answer","Yes","Self-employed",0,0,0,0,2,7,"Brown",1,2,3,4,5,25,10,15,15,35,25,15,15,45,25,35,35,5,5,5,35,55,25,25,50,10,30,20,40,"","Sometimes","Sometimes","Sometimes","Rarely","Most of the time","Rarely","Sometimes","78e29fd5-5cdc-f011-8d4c-002248d5417f","Quebec","English","Liberal Party of Canada","Québec solidaire","Equally Canadian and Quebecer",5,3,5,0,6,"Quebec",25,0.25,0.25,10,0.1,0,15,0.15,0.25,15,0.15,0.25,35,0.35,0.25,0,0,0,-10,0,-10,1,20,0,0,0,10,0,10,0,-20,0,-20,0,-20,0,10,1,30,0,-8.33333333333334,0,-8.33333333333334,1,16.6666666666667,0,-15,0,5,0,-5,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.66,1,0.33,0,0.33,0,0.33,0,1,1,0.66,1,0.66,1,5,0,3,0,5,0,0,0,6,1
"6",114,"R_1n0kPSrFbf93BRn","EN","Male",1999,"Ontario","Master’s degree","$90,001 to $110,000","Alone without children","No","Working full-time (35 or more hours per week)",NA,NA,NA,NA,3,3,"Brown",4,3,5,1,2,40,0,0,0,60,0,60,40,0,0,50,0,50,50,0,50,0,0,60,40,0,50,50,0,"","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","ebf39fd5-5cdc-f011-8d4c-002248d5417f","Ontario","English","Liberal Party of Canada","Ontario Liberal Party","Equally Canadian and Ontarian",5,5,6,6,7,"Ontario",40,0.4,0.5,0,0,0,0,0,0,0,0,0,60,0.6,0.5,0,-25,1,35,0,15,0,-25,0,-25,0,25,0,-25,0,25,0,25,0,-25,0,25,0,-25,0,-33.3333333333333,1,26.6666666666667,0,6.66666666666666,0,-25,0,25,0,25,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.66,1,0.33,0,0.33,0,0.66,1,0.66,1,0.33,0,0.66,1,5,0,5,0,6,1,6,1,7,1
"7",980,"R_1G4qW2wIdyka2DD","FR","Male",1949,"Quebec","Master’s degree","$110,001 to $150,000","In couple without children","Yes","Retired",NA,NA,NA,NA,1,8,"Brown",2,5,1,3,4,20,25,5,25,25,5,5,10,80,10,5,15,70,15,0,15,70,80,10,10,40,10,30,20,"Most of the time","","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","8ce59fd5-5cdc-f011-8d4c-002248d5417f","Québec","French","Bloc Québécois","Parti québécois","Solely as Quebecer",3,4,1,4,4,"Quebec",20,0.2,0.25,25,0.25,0.25,5,0.05,0,25,0.25,0.25,25,0.25,0.25,0,-20,0,-20,0,-15,1,55,0,-15,0,-20,0,-10,1,45,0,-10,0,-25,0,-10,1,45,1,46.6666666666667,0,-23.3333333333333,0,-23.3333333333333,1,15,0,-15,0,5,0,-5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0.33,0,0.33,0,0.66,1,0.66,1,0.33,0,0.33,0,3,0,4,0,1,0,4,0,4,0
"8",802,"R_5PctsLwVCDzSUvS","EN","Male",1945,"Ontario","Some technical, community college, CEGEP, College Classique","$90,001 to $110,000","In couple without children","Yes","Retired",NA,NA,NA,NA,5,9,"Brown",1,3,2,5,4,50,30,10,5,5,100,0,0,0,0,0,0,100,0,0,50,50,0,100,0,0,100,0,0,"Sometimes","","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","cfeb9fd5-5cdc-f011-8d4c-002248d5417f","Ontario","English","Liberal Party of Canada","Ontario Liberal Party","Solely as Canadian",7,5,5,5,5,"Ontario",50,0.5,0.5,30,0.3,0.25,10,0.1,0,5,0.05,0,5,0.05,0,1,75,0,-25,0,-25,0,-25,0,-25,0,-25,0,-25,1,75,0,-25,0,-25,0,25,0,25,0,-33.3333333333333,1,66.6666666666667,0,-33.3333333333333,0,-25,1,75,0,-25,0,-25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.66,1,NA,0,0.33,0,0.33,0,0.66,1,0.33,0,0.33,0,0.66,1,7,1,5,0,5,0,5,0,5,0
"9",560,"R_1JXji8FvkvADkUr","EN","Male",1967,"Quebec","Completed technical, community college, CEGEP, College Classique","$1 to $30,000","In couple without children","Yes","Retired",NA,NA,NA,NA,6,7,"Brown",1,2,4,3,5,70,20,0,10,0,0,90,0,10,0,0,0,100,0,0,70,30,0,10,90,0,40,0,60,"","Most of the time","Most of the time","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","c2dd9fd5-5cdc-f011-8d4c-002248d5417f","Quebec","English","Liberal Party of Canada","Did not vote","First Canadian, second Quebecer",6,3,5,1,6,"Quebec",70,0.7,0.75,20,0.2,0.25,0,0,0,10,0.1,0,0,0,0,0,-25,1,65,0,-25,0,-15,0,-25,0,-25,0,-25,1,75,0,-25,0,-25,1,45,0,5,0,-33.3333333333333,0,-23.3333333333333,1,56.6666666666667,0,-25,0,15,0,-25,1,35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,1,1,0,0,0.33,0,0.66,1,0.33,0,0.33,0,0.66,1,6,1,3,0,5,0,1,0,6,1
"10",711,"R_3pBw4Hj9MGCLddf","EN","Male",1964,"Ontario","Bachelor’s degree","$110,001 to $150,000","In couple with children","Yes","Working part-time (less than 35 hours per week)",0,0,0,1,9,9,"Brown",4,3,5,1,2,50,20,10,15,5,0,20,0,80,0,10,0,90,40,0,50,10,100,0,0,50,0,50,0,"","Most of the time","Sometimes","Rarely","Most of the time","Rarely","Most of the time","Rarely","3ea0e2d5-5cdc-f011-8d4c-002248d5417f","Ontario","English","Conservative Party of Canada","Progressive Conservative Party of Ontario","Solely as Canadian",5,4,1,5,6,"Ontario",50,0.5,0.5,20,0.2,0.25,10,0.1,0,15,0.15,0.25,5,0.05,0,0,-25,0,-5,0,-25,1,55,0,-25,0,-15,0,-25,1,65,0,15,0,-25,1,25,0,-15,1,66.6666666666667,0,-33.3333333333333,0,-33.3333333333333,0,25,0,-25,0,25,0,-25,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,1,1,0.33,0,0.66,1,1,1,0.33,0,0,0,0.33,0,5,0,4,0,1,0,5,0,6,1
