"","id","userFR_bin","ses_male_bin","ses_age","age34","age35_54","alberta_bin","bcolumbia_bin","nova_scotia_bin","ontario_bin","quebec_bin","yukon_bin","ses_french_bin","educ_group","educBHS","educHS","ses_income_char","ses_income3Cat","incomeLow_bin","incomeMid_bin","ses_postalCode","ses_matStatus_char","matStatus_married_bin","ses_home_ownership_char","home_owned_bin","home_rented_bin","ses_children_char","children_bin","ses_citizenYes_bin","ses_employ_status_char","employ_fulltime_bin","ses_family_structure_char","family_first_union_bin","ses_children05_char","youngChildren","ses_children612_char","dependentChildren","ses_children1317_char","teenChildren","ses_children18_char","ses_0children18_bin","ses_1children18_bin","ses_2children18_bin","ses_3children18_bin","ses_4children18_bin","ideo_right_num.","ideo_interest_politics_num","ideo_cynicism","ideo_cynicism_char","ideo_party_them","ideo_party_bin","ideo_country_bin","budget_health_priority_num","budget_health_priority_bin","budget_education_priority_num","budget_education_priority_bin","budget_pensions_priority_num","budget_pensions_priority_bin","budget_taxes_priority_num","budget_taxes_priority_bin","budget_debt_priority_num","budget_debt_priority_bin","budget_spend_prio_health_norm","budget_spend_prio_seniors_norm","budget_spend_prio_childcare_norm","budget_spend_prio_costLiving_norm","budget_spend_prio_climateChange_norm","tradeoff_childcare_num","tradeoff_childcare_higher_taxes_num","tradeoff_childcare_by_cutting_num","tradeoff_childcare_debt_num","tradeoff_no_taxes_num","tradeoff_taxes_sales_num","tradeoff_taxes_high_income_num","tradeoff_taxes_wealthy_num","tradeoff_taxconst_char","tradeoff_capital_bin","tradeoff_sales_bin","tradeoff_income_bin","tradeoff_no_exception_bin","tradeoff_dontremember_bin","tradeoff_childcare_benefits_num","tradeoff_childcare_lowincome_num","tradeoff_childcare_char","tradeoff_childcare_benefits_bin","tradeoff_childcare_income_bin","tradeoff_childcare_dontremember_bin","tradeoff_childcare_no_mention_bin","tradeoff_senior_benefits_num","tradeoff_senior_income_num","redis_intelligence_num","redis_opportunity_num","redis_reasons_rich_num","redis_reasons_poor_num","redis_effort_num","redis_social_benefits_num","redis_welfare_num","redis_no_cheat_system_num"
"1",1,1,1,25,1,0,0,0,0,0,1,0,1,"educUniv",0,0,"30001_to_60000","Mid",0,1,"G2C","single",0,"rented",0,1,"alone_without_children",0,1,"working_full_time",1,"first_union",1,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.33,0.9,"Their party","their_party",0,1,0,0.75,1,1,1,0.5,0,0,0,0.25,0,0.5,0.25,0.25,0,0.25,NA,NA,NA,NA,NA,NA,0.66,NA,"No exception was mentioned.",0,0,0,1,0,NA,0.33,"An increase in the price of childcare for middle- and upper-class families.",0,1,0,0,0.66,NA,0.66,NA,NA,1,0.33,0.66,0.33,0.66
"2",2,1,0,43,0,1,0,0,0,0,1,0,1,"educUniv",0,0,"150001_to_200000","High",0,0,"J4v","common_law",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_with_children",1,1,"working_full_time",1,"first_union",1,"0 enfant 0-5 ans",0,"1 enfant 6-12 ans",1,"1 enfant 13-17 ans",1,"0 enfant 18+ ans",1,0,0,0,0,0.33,0.6,"The country","the_country",0,0,1,0.75,1,1,1,0.5,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,NA,NA,NA,1,NA,NA,NA,1,"A capital gains tax.",1,0,0,0,0,NA,0.66,"An increase in the price of childcare for middle- and upper-class families.",0,1,0,0,NA,0.66,NA,0.33,0.66,NA,0.33,1,1,1
"3",3,1,0,47,0,1,0,0,0,0,1,0,1,"educUniv",0,0,"60001_to_90000","Mid",0,1,"j4l","married",1,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_with_children",1,1,"caregiver_or_homemaker",0,"first_union",1,"0 enfant 0-5 ans",0,"0 enfant 6-12 ans",0,"2 enfants 13-17 ans",1,"1 enfant 18+ ans",0,1,0,0,0,0.33,0.7,"Their party","their_party",0,1,0,0.75,1,1,1,0.5,0,0,0,0.25,0,0.25,0.25,0.25,0,0.25,NA,NA,NA,0.66,NA,NA,0.33,NA,"A tax on high incomes.",0,0,1,0,0,0.33,NA,"A reduction in other family benefits (e.g., child tax credits or parental leave payments).",1,0,0,0,0.66,NA,1,NA,1,NA,0.66,1,0.33,1
"4",4,1,1,67,0,0,0,0,0,0,1,0,1,"educUniv",0,0,"150001_to_200000","High",0,0,"J8v","common_law",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_without_children",0,1,"retired",0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.33,1,"The country","the_country",0,0,1,1,1,0.75,1,0.5,0,0.25,0,0,0,0.5,0,0,0,0.25,NA,NA,0.33,NA,NA,NA,1,NA,"A tax on high incomes.",0,0,1,0,0,0.33,NA,"No trade-off was mentioned.",0,0,0,1,NA,0.33,1,NA,NA,0.33,0.33,1,0.66,0.66
"5",5,1,1,55,0,0,0,0,0,0,1,0,1,"educUniv",0,0,"150001_to_200000","High",0,0,"H2J","single",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"alone_with_children",1,1,"working_full_time",1,"single_parent",0,"0 enfant 0-5 ans",0,"1 enfant 6-12 ans",1,"1 enfant 13-17 ans",1,"0 enfant 18+ ans",1,0,0,0,0,0.33,0.9,"Don’t know","dont_know",0,0,0,0.75,1,1,1,0.5,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,NA,NA,NA,NA,0.33,NA,NA,NA,"No exception was mentioned.",0,0,0,1,0,0.66,NA,"A reduction in other family benefits (e.g., child tax credits or parental leave payments).",1,0,0,0,0.33,NA,0.66,NA,0.66,NA,0.66,0.66,0.33,0.66
"6",6,1,1,73,0,0,0,0,0,0,1,0,1,"educUniv",0,0,"110001_to_150000","Mid",0,1,"J5k","common_law",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_with_children",1,1,"retired",0,"first_union",1,"0 enfant 0-5 ans",0,"0 enfant 6-12 ans",0,"2 enfants 13-17 ans",1,"1 enfant 18+ ans",0,1,0,0,0,0.44,1,"The country","the_country",0,0,1,1,1,0.75,1,0,0,0.25,0,0.5,0,0.5,0,0,0,0.25,NA,NA,NA,NA,NA,NA,0.66,NA,"A tax on high incomes.",0,0,1,0,0,NA,0.66,"An increase in the price of childcare for middle- and upper-class families.",0,1,0,0,0.66,NA,NA,0.66,0.66,NA,0.66,0.66,0.66,0.33
"7",7,1,0,40,0,1,0,0,0,0,1,0,1,"educUniv",0,0,"110001_to_150000","Mid",0,1,"G1W","married",1,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_with_children",1,0,"working_part_time",0,"first_union",1,"0 enfant 0-5 ans",0,"2 enfants 6-12 ans",1,"1 enfant 13-17 ans",1,"0 enfant 18+ ans",1,0,0,0,0,0.33,0.7,"Themselves","themselves",1,0,0,0.75,1,1,1,0,0,0.5,0,0.25,0,0.5,0,0,0,0.25,NA,NA,NA,NA,1,NA,NA,NA,"I don’t remember.",0,0,0,0,1,NA,1,"An increase in the price of childcare for middle- and upper-class families.",0,1,0,0,0.33,NA,0,NA,0.66,NA,0.33,0.66,0.33,1
"8",8,1,0,29,1,0,0,0,0,0,1,0,1,"educUniv",0,0,"more_than_200000","High",0,0,"G8L","single",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"alone_without_children",0,1,"self_employed",0,"first_union",1,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.33,0.7,"Their party","their_party",0,1,0,1,1,0.75,1,0.25,0,0.5,0,0,0,0.25,0.25,0.25,0,0.25,NA,NA,0.66,NA,NA,NA,1,NA,"A tax on high incomes.",0,0,1,0,0,0.66,NA,"A reduction in other family benefits (e.g., child tax credits or parental leave payments).",1,0,0,0,0.33,NA,NA,1,1,NA,0.66,0.66,0.33,1
"9",9,1,1,57,0,0,0,0,0,0,1,0,1,"educHS",0,1,"more_than_200000","High",0,0,"H2k","common_law",0,"owned_by_your_family_or_a_member_of_your_household",1,0,"in_couple_without_children",0,1,"working_full_time",1,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.33,0.9,"Their party","their_party",0,1,0,0.75,1,0.25,0,0.5,0,0,0,1,1,0.25,0.25,0,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,0.66,"A capital gains tax.",1,0,0,0,0,NA,0.66,"An increase in the price of childcare for middle- and upper-class families.",0,1,0,0,NA,0.66,1,NA,0.66,NA,0.66,0.33,0.33,0.66
"10",10,1,1,27,1,0,0,0,0,0,1,0,1,"educHS",0,1,"60001_to_90000","Mid",0,1,"J7c","common_law",0,"rented",0,1,"in_couple_with_children",1,1,"self_employed",0,"first_union",1,"0 enfant 0-5 ans",0,"1 enfant 6-12 ans",1,"0 enfant 13-17 ans",0,"0 enfant 18+ ans",1,0,0,0,0,0.33,0.5,"Their party","their_party",0,1,0,0.75,1,1,1,0.5,0,0,0,0.25,0,0.25,0,0.25,0.25,0.25,NA,NA,NA,NA,NA,0,NA,NA,"An increase in sales taxes.",0,1,0,0,0,0.33,NA,"A reduction in other family benefits (e.g., child tax credits or parental leave payments).",1,0,0,0,NA,1,0.33,NA,0.66,NA,0.33,0.66,0.33,0.33
