"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Wealth tax (intense)","age18_34_bin",-0.034,-0.067,0,0.048,"*","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","age55plus_bin",0.007,-0.028,0.042,0.694,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","alberta_bin",-0.029,-0.063,0.005,0.099,".","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","children_bin",-0.016,-0.045,0.012,0.265,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","employ_fulltime_bin",0.016,-0.016,0.049,0.326,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_define_QC_first_bin",0.034,-0.028,0.096,0.279,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_right_num",-0.084,-0.155,-0.013,0.021,"*","Negative","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_vote_fed_left",0.066,-0.001,0.132,0.053,".","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_vote_prov_left",-0.004,-0.045,0.036,0.836,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","incomeHigh_bin",-0.021,-0.055,0.012,0.218,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","quebec_bin",-0.034,-0.088,0.02,0.219,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","region_eastcoast_bin",-0.014,-0.05,0.021,0.427,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ses_french_bin",0.042,-0.023,0.106,0.204,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ses_male_bin",-0.015,-0.042,0.012,0.271,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","trust_inst_fed_bin",-0.03,-0.064,0.004,0.08,".","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","trust_inst_prov_bin",-0.009,-0.043,0.026,0.624,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","univ_educ_bin",0.018,-0.009,0.046,0.195,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","vote_PCC_bin",0.036,-0.016,0.088,0.175,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","vote_PLC_bin",-0.002,-0.038,0.034,0.912,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","age18_34_bin",-0.017,-0.054,0.021,0.383,"","No clear effect","Logit AME"
