"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_logit","Healthcare access","age18_34_bin",-0.071,-0.13,-0.011,0.021,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","age55plus_bin",0.016,-0.039,0.072,0.558,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","alberta_bin",0.002,-0.053,0.057,0.935,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","children_bin",0.01,-0.034,0.054,0.663,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","employ_fulltime_bin",0.008,-0.038,0.053,0.744,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_define_QC_first_bin",0.02,-0.061,0.101,0.625,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_right_num",-0.133,-0.237,-0.028,0.013,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","incomeHigh_bin",-0.037,-0.092,0.018,0.19,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","quebec_bin",0.05,-0.042,0.141,0.289,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","region_eastcoast_bin",0.054,0.001,0.108,0.045,"*","Positive","Logit AME"
"prio_pref_logit","Healthcare access","ses_citizenYes_bin",-0.077,-0.129,-0.026,0.003,"**","Negative","Logit AME"
"prio_pref_logit","Healthcare access","ses_french_bin",-0.031,-0.124,0.062,0.517,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ses_male_bin",-0.087,-0.128,-0.046,0,"***","Negative","Logit AME"
"prio_pref_logit","Healthcare access","univ_educ_bin",-0.022,-0.063,0.018,0.282,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PCC_bin",-0.002,-0.06,0.055,0.937,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PLC_bin",-0.016,-0.068,0.037,0.56,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age18_34_bin",-0.028,-0.082,0.026,0.315,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age55plus_bin",0.033,-0.019,0.084,0.214,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","alberta_bin",-0.043,-0.093,0.008,0.096,".","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","children_bin",-0.028,-0.07,0.015,0.206,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","employ_fulltime_bin",0.039,-0.005,0.082,0.083,".","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_define_QC_first_bin",-0.026,-0.096,0.045,0.48,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_right_num",0.096,0,0.193,0.05,".","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","incomeHigh_bin",-0.027,-0.079,0.024,0.301,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","quebec_bin",-0.044,-0.127,0.038,0.291,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","region_eastcoast_bin",-0.063,-0.112,-0.014,0.012,"*","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","ses_citizenYes_bin",0.012,-0.042,0.066,0.655,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ses_french_bin",0.065,-0.024,0.153,0.152,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ses_male_bin",-0.016,-0.054,0.023,0.428,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","univ_educ_bin",-0.085,-0.124,-0.046,0,"***","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","vote_PCC_bin",-0.056,-0.107,-0.005,0.033,"*","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","vote_PLC_bin",-0.037,-0.083,0.009,0.116,"","No clear effect","Logit AME"
