"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_pref_logit","Raise taxes","age18_34_bin",1998,0.006,-0.048,0.06,0.829,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","age55plus_bin",1998,-0.057,-0.109,-0.005,0.032,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","alberta_bin",1998,0.004,-0.05,0.059,0.876,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","children_bin",1998,0.011,-0.033,0.054,0.636,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","employ_fulltime_bin",1998,-0.004,-0.049,0.041,0.859,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_define_QC_first_bin",1998,0.032,-0.052,0.116,0.461,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_right_num",1998,-0.129,-0.229,-0.029,0.011,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_vote_fed_left",1998,-0.02,-0.113,0.072,0.665,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_vote_prov_left",1998,0.073,0.017,0.129,0.011,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","incomeHigh_bin",1998,-0.013,-0.063,0.037,0.604,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","quebec_bin",1998,-0.009,-0.096,0.077,0.83,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","region_eastcoast_bin",1998,-0.022,-0.074,0.031,0.42,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ses_french_bin",1998,-0.045,-0.122,0.031,0.245,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ses_male_bin",1998,0.069,0.029,0.108,0.001,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","trust_inst_fed_bin",1998,0.045,-0.006,0.096,0.085,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","trust_inst_prov_bin",1998,0.044,-0.008,0.095,0.098,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","univ_educ_bin",1998,0.016,-0.024,0.056,0.442,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","vote_PCC_bin",1998,-0.147,-0.198,-0.096,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","vote_PLC_bin",1998,-0.04,-0.088,0.009,0.111,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","age18_34_bin",2000,0.135,0.072,0.199,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","age55plus_bin",2000,-0.005,-0.064,0.054,0.88,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","alberta_bin",2000,-0.005,-0.065,0.055,0.866,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","children_bin",2000,0.039,-0.009,0.087,0.115,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","employ_fulltime_bin",2000,0.029,-0.021,0.079,0.254,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_define_QC_first_bin",2000,-0.016,-0.101,0.07,0.721,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_right_num",2000,-0.063,-0.174,0.047,0.263,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_vote_fed_left",2000,-0.008,-0.117,0.101,0.886,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_vote_prov_left",2000,-0.065,-0.13,-0.001,0.047,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","incomeHigh_bin",2000,-0.004,-0.062,0.054,0.891,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","quebec_bin",2000,-0.009,-0.108,0.09,0.858,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","region_eastcoast_bin",2000,-0.005,-0.065,0.054,0.86,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ses_french_bin",2000,-0.004,-0.098,0.09,0.932,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ses_male_bin",2000,-0.064,-0.108,-0.02,0.004,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","trust_inst_fed_bin",2000,-0.028,-0.084,0.028,0.32,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","trust_inst_prov_bin",2000,0,-0.057,0.057,0.996,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","univ_educ_bin",2000,-0.053,-0.097,-0.009,0.018,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","vote_PCC_bin",2000,-0.081,-0.141,-0.021,0.008,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","vote_PLC_bin",2000,-0.037,-0.095,0.021,0.214,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","age18_34_bin",1999,0.051,-0.008,0.11,0.089,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","age55plus_bin",1999,-0.039,-0.094,0.017,0.172,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","alberta_bin",1999,-0.029,-0.086,0.027,0.313,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","children_bin",1999,0.016,-0.028,0.061,0.47,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","employ_fulltime_bin",1999,0.026,-0.021,0.074,0.275,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_define_QC_first_bin",1999,0.07,-0.016,0.157,0.11,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_right_num",1999,-0.153,-0.256,-0.05,0.004,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_vote_fed_left",1999,-0.078,-0.178,0.023,0.131,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_vote_prov_left",1999,0.089,0.03,0.148,0.003,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","incomeHigh_bin",1999,-0.035,-0.088,0.018,0.201,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","quebec_bin",1999,0.014,-0.083,0.111,0.778,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","region_eastcoast_bin",1999,-0.041,-0.096,0.014,0.147,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ses_french_bin",1999,-0.034,-0.12,0.053,0.445,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ses_male_bin",1999,-0.023,-0.065,0.019,0.284,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","trust_inst_fed_bin",1999,0.066,0.011,0.121,0.018,"*","Positive","cc1","Increase childcare spending, how to fund it"
