"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","age18_34_bin",0.01,-0.049,0.068,0.749,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","age55plus_bin",-0.066,-0.124,-0.008,0.025,"*","Negative","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","alberta_bin",-0.002,-0.061,0.057,0.942,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","children_bin",0.002,-0.045,0.048,0.95,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","employ_fulltime_bin",0.009,-0.042,0.059,0.737,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_define_QC_first_bin",-0.009,-0.096,0.078,0.836,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_right_num",0.044,-0.064,0.152,0.428,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_vote_fed_left",-0.067,-0.179,0.044,0.237,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_vote_prov_left",-0.007,-0.071,0.058,0.842,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","incomeHigh_bin",0.024,-0.034,0.082,0.422,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","quebec_bin",-0.033,-0.127,0.061,0.487,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","region_eastcoast_bin",-0.035,-0.094,0.023,0.236,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ses_french_bin",0.038,-0.053,0.13,0.414,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ses_male_bin",-0.039,-0.082,0.004,0.078,".","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","trust_inst_fed_bin",0.057,0,0.114,0.049,"*","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","trust_inst_prov_bin",-0.019,-0.075,0.037,0.506,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","univ_educ_bin",0.014,-0.03,0.057,0.537,"","No clear effect","Logit AME"
