"iv","dv","contrast","estimate","conf.low","conf.high","p.value","sig","direction"
"Quebec (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.036,-0.062,-0.01,0.007,"**","0 > 1"
"Quebec (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",-0.03,-0.057,-0.004,0.026,"*","0 > 1"
"Quebec (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",-0.008,-0.029,0.014,0.489,"","No clear difference"
"Quebec (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.03,0.009,0.051,0.005,"**","1 > 0"
"Quebec (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.033,0.01,0.057,0.005,"**","1 > 0"
"Quebec (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",0.003,-0.019,0.024,0.82,"","No clear difference"
"Quebec (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.006,-0.033,0.045,0.764,"","No clear difference"
"Quebec (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.027,-0.062,0.007,0.118,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.083,-0.123,-0.043,0,"***","0 > 1"
"Quebecker First (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.007,-0.032,0.046,0.728,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0.001,-0.033,0.035,0.948,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.034,0.003,0.066,0.03,"*","1 > 0"
"Quebecker First (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.044,0.01,0.079,0.012,"*","1 > 0"
"Quebecker First (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",0.006,-0.025,0.037,0.706,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.001,-0.06,0.062,0.981,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.044,-0.099,0.011,0.114,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",0.012,-0.012,0.036,0.332,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.009,-0.016,0.034,0.478,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0.008,-0.012,0.028,0.443,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",-0.001,-0.021,0.019,0.913,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",0.01,-0.013,0.032,0.397,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",0.018,-0.003,0.039,0.095,".","No clear difference"
"Alberta (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0,-0.036,0.036,0.997,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",-0.008,-0.041,0.024,0.608,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",0.026,0.003,0.05,0.028,"*","1 > 0"
"Ontario (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.01,-0.015,0.036,0.417,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Violating outcomes (Poor)","0 vs 1",0.01,-0.01,0.03,0.345,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Violating outcomes (Rich)","0 vs 1",0.004,-0.017,0.024,0.729,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Social benefits not a choice","0 vs 1",-0.019,-0.042,0.004,0.102,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Welfare goes to undeserving","0 vs 1",-0.001,-0.022,0.019,0.906,"","No clear difference"
"Ontario (No=0 vs Yes=1)","People have equal opportunity","0 vs 1",0.022,-0.013,0.057,0.213,"","No clear difference"
"Ontario (No=0 vs Yes=1)","Rewarded for effort and skill","0 vs 1",0.045,0.014,0.076,0.004,"**","1 > 0"
"Eastern Canada (No=0 vs Yes=1)","Fairness of income distribution","0 vs 1",-0.003,-0.026,0.02,0.779,"","No clear difference"
"Eastern Canada (No=0 vs Yes=1)","Trust not to cheat system","0 vs 1",0.01,-0.015,0.035,0.443,"","No clear difference"
