"iv","dv","contrast","estimate","conf.low","conf.high","p.value","sig","direction"
"Quebec (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.013,-0.059,0.033,0.567,"","No clear difference"
"Quebec (No=0 vs Yes=1)","Education","0 vs 1",0.109,0.074,0.144,0,"***","1 > 0"
"Quebec (No=0 vs Yes=1)","Pensions","0 vs 1",-0.004,-0.026,0.019,0.754,"","No clear difference"
"Quebec (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.058,-0.087,-0.029,0,"***","0 > 1"
"Quebec (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.03,-0.053,-0.006,0.013,"*","0 > 1"
"Quebec (No=0 vs Yes=1)","Healthcare","0 vs 1",0.436,-1.059,1.93,0.568,"","No clear difference"
"Quebec (No=0 vs Yes=1)","Seniors","0 vs 1",1.004,-0.058,2.066,0.064,".","No clear difference"
"Quebec (No=0 vs Yes=1)","Cost of living","0 vs 1",1.154,0.237,2.071,0.014,"*","1 > 0"
"Quebec (No=0 vs Yes=1)","Economy","0 vs 1",-5.632,-6.723,-4.541,0,"***","0 > 1"
"Quebec (No=0 vs Yes=1)","Climate","0 vs 1",2.922,1.811,4.033,0,"***","1 > 0"
"Quebecker First (No=0 vs Yes=1)","Healthcare","0 vs 1",0.022,-0.046,0.09,0.528,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Education","0 vs 1",0.09,0.034,0.145,0.001,"**","1 > 0"
"Quebecker First (No=0 vs Yes=1)","Pensions","0 vs 1",-0.005,-0.038,0.029,0.791,"","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Tax reduction","0 vs 1",-0.057,-0.097,-0.016,0.006,"**","0 > 1"
"Quebecker First (No=0 vs Yes=1)","Debt reduction","0 vs 1",-0.047,-0.076,-0.017,0.002,"**","0 > 1"
"Quebecker First (No=0 vs Yes=1)","Healthcare","0 vs 1",-1.939,-3.927,0.048,0.056,".","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Seniors","0 vs 1",1.347,-0.23,2.924,0.094,".","No clear difference"
"Quebecker First (No=0 vs Yes=1)","Cost of living","0 vs 1",1.684,0.412,2.957,0.009,"**","1 > 0"
"Quebecker First (No=0 vs Yes=1)","Economy","0 vs 1",-6.192,-7.68,-4.704,0,"***","0 > 1"
"Quebecker First (No=0 vs Yes=1)","Climate","0 vs 1",5.002,3.32,6.683,0,"***","1 > 0"
"Alberta (No=0 vs Yes=1)","Healthcare","0 vs 1",-0.086,-0.131,-0.04,0,"***","0 > 1"
"Alberta (No=0 vs Yes=1)","Education","0 vs 1",-0.014,-0.043,0.014,0.325,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Pensions","0 vs 1",0.002,-0.021,0.024,0.877,"","No clear difference"
"Alberta (No=0 vs Yes=1)","Tax reduction","0 vs 1",0.048,0.014,0.081,0.006,"**","1 > 0"
