"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Wealth tax (intense)","age18_34_bin",2032,-0.034,-0.067,-0.001,0.042,"*","Negative","Logit AME"
"intense_logit","Wealth tax (intense)","age55plus_bin",2032,0.005,-0.03,0.039,0.792,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","alberta_bin",2032,-0.027,-0.061,0.006,0.113,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","children_bin",2032,-0.02,-0.048,0.008,0.16,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","employ_fulltime_bin",2032,0.015,-0.016,0.047,0.34,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_define_QC_first_bin",2032,0.035,-0.026,0.096,0.259,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_right_num",2032,-0.084,-0.153,-0.014,0.018,"*","Negative","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_vote_fed_left",2032,0.066,0.001,0.13,0.048,"*","Positive","Logit AME"
"intense_logit","Wealth tax (intense)","ideo_vote_prov_left",2032,-0.005,-0.045,0.035,0.794,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","incomeHigh_bin",2032,-0.021,-0.054,0.012,0.214,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","quebec_bin",2032,0.001,-0.041,0.044,0.949,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","region_eastcoast_bin",2032,-0.011,-0.046,0.024,0.534,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","ses_male_bin",2032,-0.014,-0.041,0.013,0.309,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","trust_inst_fed_bin",2032,-0.03,-0.064,0.003,0.076,".","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","trust_inst_prov_bin",2032,-0.011,-0.045,0.023,0.538,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","univ_educ_bin",2032,0.02,-0.008,0.047,0.157,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","vote_PCC_bin",2032,0.036,-0.015,0.086,0.168,"","No clear effect","Logit AME"
"intense_logit","Wealth tax (intense)","vote_PLC_bin",2032,0,-0.035,0.036,0.979,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","age18_34_bin",2034,-0.016,-0.053,0.021,0.399,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","age55plus_bin",2034,0.02,-0.016,0.056,0.271,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","alberta_bin",2034,0.034,-0.009,0.078,0.124,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","children_bin",2034,0.006,-0.024,0.037,0.678,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","employ_fulltime_bin",2034,0.029,-0.002,0.059,0.065,".","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","ideo_define_QC_first_bin",2034,0.005,-0.053,0.063,0.871,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","ideo_right_num",2034,0.055,-0.024,0.134,0.169,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","ideo_vote_fed_left",2034,-0.049,-0.127,0.029,0.218,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","ideo_vote_prov_left",2034,-0.012,-0.054,0.03,0.584,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","incomeHigh_bin",2034,0.002,-0.035,0.04,0.901,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","quebec_bin",2034,0.015,-0.033,0.064,0.534,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","region_eastcoast_bin",2034,0.039,-0.006,0.084,0.092,".","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","ses_male_bin",2034,0.031,0.003,0.059,0.03,"*","Positive","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","trust_inst_fed_bin",2034,-0.057,-0.088,-0.026,0,"***","Negative","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","trust_inst_prov_bin",2034,0.002,-0.034,0.037,0.929,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","univ_educ_bin",2034,-0.02,-0.048,0.007,0.152,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","vote_PCC_bin",2034,-0.011,-0.048,0.026,0.562,"","No clear effect","Logit AME"
"intense_logit","Target low-income seniors, pensions (intense)","vote_PLC_bin",2034,0.013,-0.03,0.055,0.559,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","age18_34_bin",2050,-0.006,-0.044,0.032,0.756,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","age55plus_bin",2050,0.016,-0.02,0.051,0.388,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","alberta_bin",2050,0.061,0.011,0.111,0.016,"*","Positive","Logit AME"
"intense_logit","Social policy composite (intense)","children_bin",2050,-0.018,-0.046,0.01,0.201,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","employ_fulltime_bin",2050,0.014,-0.018,0.046,0.378,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","ideo_define_QC_first_bin",2050,-0.044,-0.087,-0.001,0.043,"*","Negative","Logit AME"
"intense_logit","Social policy composite (intense)","ideo_right_num",2050,0.025,-0.045,0.096,0.484,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","ideo_vote_fed_left",2050,0.014,-0.064,0.092,0.723,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","ideo_vote_prov_left",2050,-0.037,-0.083,0.009,0.118,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","incomeHigh_bin",2050,-0.005,-0.043,0.032,0.78,"","No clear effect","Logit AME"
