"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_logit","Healthcare access","age18_34_bin",2059,-0.072,-0.131,-0.012,0.018,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","age55plus_bin",2059,-0.001,-0.055,0.054,0.983,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","alberta_bin",2059,-0.004,-0.058,0.05,0.892,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","children_bin",2059,0.006,-0.037,0.05,0.773,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","employ_fulltime_bin",2059,0.005,-0.04,0.05,0.841,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_define_QC_first_bin",2059,0.014,-0.068,0.095,0.744,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_right_num",2059,-0.102,-0.205,0.001,0.053,".","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_vote_fed_left",2059,-0.044,-0.146,0.057,0.39,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_vote_prov_left",2059,0.004,-0.055,0.064,0.883,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","incomeHigh_bin",2059,-0.057,-0.111,-0.002,0.041,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","quebec_bin",2059,0.02,-0.041,0.082,0.513,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","region_eastcoast_bin",2059,0.049,-0.003,0.102,0.066,".","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ses_male_bin",2059,-0.074,-0.115,-0.034,0,"***","Negative","Logit AME"
"prio_pref_logit","Healthcare access","trust_inst_fed_bin",2059,-0.009,-0.06,0.042,0.734,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","trust_inst_prov_bin",2059,-0.056,-0.109,-0.002,0.042,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","univ_educ_bin",2059,-0.008,-0.048,0.033,0.713,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PCC_bin",2059,-0.019,-0.079,0.041,0.529,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PLC_bin",2059,0.002,-0.053,0.058,0.934,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age18_34_bin",2059,-0.032,-0.084,0.021,0.237,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age55plus_bin",2059,0.035,-0.015,0.085,0.166,"","No clear effect","Logit AME"
