"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_pref_logit","Raise taxes","age18_34_bin",2056,0.002,-0.051,0.055,0.936,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","age55plus_bin",2056,-0.066,-0.117,-0.015,0.011,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","alberta_bin",2056,0.004,-0.05,0.058,0.88,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","children_bin",2056,0.006,-0.037,0.049,0.785,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","employ_fulltime_bin",2056,-0.014,-0.058,0.03,0.534,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_define_QC_first_bin",2056,0.021,-0.06,0.102,0.614,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_right_num",2056,-0.119,-0.218,-0.02,0.018,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_vote_fed_left",2056,-0.022,-0.114,0.069,0.632,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ideo_vote_prov_left",2056,0.072,0.017,0.127,0.011,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","incomeHigh_bin",2056,-0.017,-0.066,0.033,0.508,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","quebec_bin",2056,-0.041,-0.099,0.018,0.172,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","region_eastcoast_bin",2056,-0.021,-0.073,0.03,0.415,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","ses_male_bin",2056,0.068,0.029,0.107,0.001,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","trust_inst_fed_bin",2056,0.045,-0.006,0.096,0.084,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","trust_inst_prov_bin",2056,0.034,-0.017,0.085,0.187,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","univ_educ_bin",2056,0.019,-0.021,0.058,0.35,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","vote_PCC_bin",2056,-0.15,-0.199,-0.1,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Raise taxes","vote_PLC_bin",2056,-0.033,-0.082,0.015,0.176,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","age18_34_bin",2058,0.133,0.071,0.195,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","age55plus_bin",2058,-0.005,-0.063,0.052,0.856,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","alberta_bin",2058,-0.012,-0.07,0.046,0.687,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","children_bin",2058,0.042,-0.006,0.089,0.085,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","employ_fulltime_bin",2058,0.03,-0.019,0.079,0.231,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_define_QC_first_bin",2058,-0.012,-0.096,0.072,0.779,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_right_num",2058,-0.054,-0.163,0.055,0.333,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_vote_fed_left",2058,-0.003,-0.111,0.105,0.951,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ideo_vote_prov_left",2058,-0.066,-0.13,-0.002,0.044,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","incomeHigh_bin",2058,0.003,-0.053,0.06,0.909,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","quebec_bin",2058,-0.024,-0.09,0.042,0.481,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","region_eastcoast_bin",2058,-0.016,-0.074,0.042,0.593,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","ses_male_bin",2058,-0.065,-0.109,-0.022,0.003,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","trust_inst_fed_bin",2058,-0.03,-0.085,0.025,0.291,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","trust_inst_prov_bin",2058,0,-0.056,0.056,0.997,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","univ_educ_bin",2058,-0.044,-0.088,-0.001,0.044,"*","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","vote_PCC_bin",2058,-0.082,-0.141,-0.024,0.006,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Cut other spending","vote_PLC_bin",2058,-0.039,-0.097,0.018,0.181,"","No clear effect","cc1","Increase childcare spending, how to fund it"
