"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","age18_34_bin",2058,0.014,-0.044,0.073,0.629,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","age55plus_bin",2058,-0.058,-0.114,-0.001,0.046,"*","Negative","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","alberta_bin",2058,-0.013,-0.07,0.044,0.65,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","children_bin",2058,-0.004,-0.05,0.042,0.861,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","employ_fulltime_bin",2058,0.011,-0.038,0.061,0.651,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_define_QC_first_bin",2058,-0.004,-0.09,0.082,0.926,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_right_num",2058,0.043,-0.063,0.149,0.43,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_vote_fed_left",2058,-0.071,-0.182,0.039,0.206,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ideo_vote_prov_left",2058,-0.012,-0.075,0.052,0.712,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","incomeHigh_bin",2058,0.028,-0.029,0.085,0.338,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","quebec_bin",2058,-0.017,-0.083,0.05,0.622,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","region_eastcoast_bin",2058,-0.044,-0.101,0.013,0.127,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","ses_male_bin",2058,-0.032,-0.075,0.01,0.135,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","trust_inst_fed_bin",2058,0.052,-0.004,0.108,0.071,".","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","trust_inst_prov_bin",2058,-0.023,-0.078,0.032,0.419,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","univ_educ_bin",2058,0.021,-0.022,0.064,0.336,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","vote_PCC_bin",2058,0.049,-0.014,0.111,0.128,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: broad beneficiaries (first choice)","vote_PLC_bin",2058,0.013,-0.046,0.072,0.673,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","age18_34_bin",2058,-0.042,-0.097,0.013,0.137,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","age55plus_bin",2058,0.022,-0.029,0.073,0.397,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","alberta_bin",2058,0.001,-0.051,0.053,0.977,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","children_bin",2058,-0.013,-0.055,0.029,0.545,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","employ_fulltime_bin",2058,0.002,-0.042,0.047,0.926,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","ideo_define_QC_first_bin",2058,0.037,-0.04,0.115,0.343,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","ideo_right_num",2058,-0.001,-0.098,0.095,0.978,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","ideo_vote_fed_left",2058,0.028,-0.072,0.129,0.581,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","ideo_vote_prov_left",2058,0.021,-0.038,0.079,0.494,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","incomeHigh_bin",2058,-0.054,-0.109,0,0.051,".","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","quebec_bin",2058,0.035,-0.024,0.095,0.24,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","region_eastcoast_bin",2058,0.034,-0.017,0.085,0.192,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","ses_male_bin",2058,0.034,-0.005,0.073,0.086,".","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","trust_inst_fed_bin",2058,-0.029,-0.081,0.024,0.284,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","trust_inst_prov_bin",2058,0.016,-0.034,0.067,0.528,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","univ_educ_bin",2058,-0.009,-0.049,0.031,0.655,"","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","vote_PCC_bin",2058,-0.051,-0.109,0.007,0.083,".","No clear effect","Logit AME"
"uc_bin_logit","Home care: narrow beneficiaries (first choice)","vote_PLC_bin",2058,0.003,-0.052,0.058,0.919,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","age18_34_bin",2059,-0.006,-0.067,0.056,0.857,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","age55plus_bin",2059,-0.061,-0.119,-0.004,0.037,"*","Negative","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","alberta_bin",2059,-0.038,-0.098,0.023,0.225,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","children_bin",2059,-0.04,-0.087,0.007,0.094,".","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","employ_fulltime_bin",2059,0.058,0.009,0.107,0.02,"*","Positive","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","ideo_define_QC_first_bin",2059,-0.053,-0.142,0.035,0.236,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","ideo_right_num",2059,0.041,-0.071,0.153,0.472,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","ideo_vote_fed_left",2059,-0.013,-0.124,0.098,0.82,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","ideo_vote_prov_left",2059,-0.042,-0.107,0.022,0.2,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","incomeHigh_bin",2059,0.061,0.004,0.117,0.035,"*","Positive","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","quebec_bin",2059,-0.049,-0.119,0.021,0.172,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","region_eastcoast_bin",2059,0.03,-0.029,0.089,0.322,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","ses_male_bin",2059,0.003,-0.04,0.047,0.876,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","trust_inst_fed_bin",2059,-0.045,-0.102,0.013,0.128,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","trust_inst_prov_bin",2059,-0.003,-0.061,0.054,0.905,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","univ_educ_bin",2059,0.028,-0.015,0.072,0.204,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","vote_PCC_bin",2059,0.045,-0.018,0.109,0.163,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: broad beneficiaries (first choice)","vote_PLC_bin",2059,-0.02,-0.078,0.039,0.511,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","age18_34_bin",2057,0.013,-0.047,0.073,0.664,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","age55plus_bin",2057,0.024,-0.033,0.082,0.409,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","alberta_bin",2057,0,-0.06,0.06,0.995,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","children_bin",2057,0.022,-0.025,0.069,0.366,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","employ_fulltime_bin",2057,-0.051,-0.102,-0.001,0.044,"*","Negative","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","ideo_define_QC_first_bin",2057,0.059,-0.03,0.148,0.192,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","ideo_right_num",2057,-0.08,-0.191,0.03,0.152,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","ideo_vote_fed_left",2057,-0.065,-0.176,0.046,0.253,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","ideo_vote_prov_left",2057,0.019,-0.046,0.084,0.57,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","incomeHigh_bin",2057,-0.078,-0.137,-0.019,0.009,"**","Negative","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","quebec_bin",2057,0.063,-0.005,0.131,0.068,".","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","region_eastcoast_bin",2057,-0.036,-0.096,0.025,0.25,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","ses_male_bin",2057,0.031,-0.013,0.075,0.162,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","trust_inst_fed_bin",2057,0.04,-0.017,0.096,0.171,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","trust_inst_prov_bin",2057,0.008,-0.05,0.065,0.797,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","univ_educ_bin",2057,-0.023,-0.067,0.022,0.319,"","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","vote_PCC_bin",2057,-0.055,-0.12,0.01,0.095,".","No clear effect","Logit AME"
"uc_bin_logit","Childcare: narrow beneficiaries (first choice)","vote_PLC_bin",2057,0.017,-0.043,0.076,0.583,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","age18_34_bin",2034,0,-0.039,0.04,0.995,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","age55plus_bin",2034,0.011,-0.026,0.047,0.572,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","alberta_bin",2034,0.031,-0.012,0.074,0.16,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","children_bin",2034,0.004,-0.027,0.034,0.82,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","employ_fulltime_bin",2034,0,-0.034,0.034,0.988,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","ideo_define_QC_first_bin",2034,-0.055,-0.099,-0.011,0.013,"*","Negative","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","ideo_right_num",2034,-0.019,-0.09,0.052,0.6,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","ideo_vote_fed_left",2034,0.027,-0.048,0.103,0.477,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","ideo_vote_prov_left",2034,-0.032,-0.076,0.013,0.16,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","incomeHigh_bin",2034,0.071,0.026,0.117,0.002,"**","Positive","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","quebec_bin",2034,0.018,-0.031,0.068,0.467,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","region_eastcoast_bin",2034,0.022,-0.022,0.066,0.326,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","ses_male_bin",2034,-0.012,-0.04,0.017,0.43,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","trust_inst_fed_bin",2034,-0.038,-0.075,-0.002,0.04,"*","Negative","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","trust_inst_prov_bin",2034,-0.003,-0.041,0.035,0.884,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","univ_educ_bin",2034,0.018,-0.012,0.047,0.238,"","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","vote_PCC_bin",2034,0.046,0,0.092,0.049,"*","No clear effect","Logit AME"
"uc_intense_logit","Home care: broad beneficiaries (intense)","vote_PLC_bin",2034,-0.014,-0.055,0.026,0.484,"","No clear effect","Logit AME"
